Entity,Code,Year,Augmented Human Development Index (AHDI),World region according to OWID,Augmented Human Development Index (AHDI) (Annotations)
Afghanistan,AFG,1950,0.050042875,Asia,
Afghanistan,AFG,1955,0.05348668,Asia,
Afghanistan,AFG,1960,0.058653668,Asia,
Afghanistan,AFG,1965,0.068906926,Asia,
Afghanistan,AFG,1970,0.08117029,Asia,
Afghanistan,AFG,1975,0.074788675,Asia,
Afghanistan,AFG,1980,0.07656577,Asia,
Afghanistan,AFG,1985,0.08730503,Asia,
Afghanistan,AFG,1990,0.09245061,Asia,
Afghanistan,AFG,1995,0.079802945,Asia,
Afghanistan,AFG,2000,0.08246316,Asia,
Afghanistan,AFG,2005,0.14892088,Asia,
Afghanistan,AFG,2010,0.19829646,Asia,
Afghanistan,AFG,2015,0.20281565,Asia,
Afghanistan,AFG,2020,0.18043555,Asia,
Albania,ALB,1870,0.03051321,Europe,
Albania,ALB,1880,0.028269397,Europe,
Albania,ALB,1890,0.030137107,Europe,
Albania,ALB,1900,0.03200694,Europe,
Albania,ALB,1913,0.05654056,Europe,
Albania,ALB,1925,0.073980205,Europe,
Albania,ALB,1929,0.08313372,Europe,
Albania,ALB,1933,0.09143072,Europe,
Albania,ALB,1938,0.091555804,Europe,
Albania,ALB,1950,0.12830953,Europe,
Albania,ALB,1955,0.13663599,Europe,
Albania,ALB,1960,0.14703792,Europe,
Albania,ALB,1965,0.15765826,Europe,
Albania,ALB,1970,0.17570245,Europe,
Albania,ALB,1975,0.1961762,Europe,
Albania,ALB,1980,0.21242611,Europe,
Albania,ALB,1985,0.23355141,Europe,
Albania,ALB,1990,0.26240152,Europe,
Albania,ALB,1995,0.38640267,Europe,
Albania,ALB,2000,0.42202714,Europe,
Albania,ALB,2005,0.46864226,Europe,
Albania,ALB,2010,0.49445975,Europe,
Albania,ALB,2015,0.49429432,Europe,
Albania,ALB,2020,0.5164856,Europe,
Algeria,DZA,1870,0.045676082,Africa,
Algeria,DZA,1880,0.046066035,Africa,
Algeria,DZA,1890,0.051203508,Africa,
Algeria,DZA,1900,0.05800915,Africa,
Algeria,DZA,1913,0.067222744,Africa,
Algeria,DZA,1925,0.071817495,Africa,
Algeria,DZA,1929,0.07663181,Africa,
Algeria,DZA,1933,0.078933686,Africa,
Algeria,DZA,1938,0.08405964,Africa,
Algeria,DZA,1950,0.10519681,Africa,
Algeria,DZA,1955,0.10996123,Africa,
